backbone,id_size,method,implementation_version,n,AUROC,FPR95,AUPR_OUT
dinov2_vitb14,3,kl_matching,verified_v1,168,0.8306030623349495,0.5941127571189415,0.8803266341716052
dinov2_vitb14,3,dice,verified_v1,168,0.8161203463244346,0.8274991902417028,0.8353479001934536
dinov2_vitb14,3,nci,verified_v1,168,0.8146327461143587,0.7588589897434295,0.8389806071069097
dinov2_vitb14,3,react,verified_v1,168,0.6738591347449612,0.8478534341930878,0.7399893831823608
dinov2_vitb14,3,ashp,verified_v1,168,0.5106096896280627,0.9593665179990198,0.6184474866883141
dinov2_vitb14,3,ashs,verified_v1,168,0.5059946482205999,0.951981430035522,0.6220820979129764
dinov2_vitb14,3,ashb,verified_v1,168,0.5020356666156613,0.9348659345216087,0.6323855950519081
dinov2_vitl14,3,rsn_reported,verified_v1,168,0.9050091439699499,0.4930385863769199,0.9174545760245065
dinov2_vitl14,3,knn,verified_v1,168,0.9010802204061538,0.5187732154000991,0.9141838406568707
dinov2_vitl14,3,vim,verified_v1,168,0.894664628135362,0.5997869940147047,0.901082124328463
dinov2_vitl14,3,mahalanobis,verified_v1,168,0.8901709200017488,0.5982819055629033,0.8990607952293288
dinov2_vitl14,3,mahalanobispp,verified_v1,168,0.888342559219786,0.6056153447807049,0.8973964099240034
dinov2_vitl14,3,rsn_paper,verified_v1,168,0.8882161816222623,0.5445477985743028,0.9053266466973668
dinov2_vitl14,3,openmax,verified_v1,168,0.8744179533114479,0.5637827376441743,0.9044407400458518
dinov2_vitl14,3,msp,verified_v1,168,0.8717924107328343,0.5556786718049872,0.9040955148334504
dinov2_vitl14,3,gradnorm,verified_v1,168,0.8710941929726536,0.5471391018842129,0.9047528089063573
dinov2_vitl14,3,maxlogit,verified_v1,168,0.8704971909451757,0.5532191291486845,0.9038827100808223
dinov2_vitl14,3,dice,verified_v1,168,0.8699145949430829,0.7502190578148847,0.8729264050662541
dinov2_vitl14,3,entropy,verified_v1,168,0.8687614873599303,0.5427914048343001,0.9040565704111135
dinov2_vitl14,3,gen,verified_v1,168,0.8680597908376856,0.5424421103580879,0.903796601837637
dinov2_vitl14,3,energy,verified_v1,168,0.8661748919890864,0.5408200482361154,0.9030737860099192
dinov2_vitl14,3,scale,verified_v1,168,0.8583829909000963,0.5525357961085938,0.8973468786431761
dinov2_vitl14,3,rmd,verified_v1,168,0.8531511267446341,0.5578224996478477,0.8934874783808662
dinov2_vitl14,3,nci,verified_v1,168,0.8438991433167948,0.6003372419499914,0.8785965437291102
dinov2_vitl14,3,kl_matching,verified_v1,168,0.8364788201590864,0.5677475225012919,0.8861934850630311
dinov2_vitl14,3,react,verified_v1,168,0.6147103308983597,0.89599562266463,0.6901721145199635
dinov2_vitl14,3,ashb,verified_v1,168,0.509706534440181,0.9348518096672904,0.6360559471069787
dinov2_vitl14,3,ashs,verified_v1,168,0.4984167743786619,0.9449878069407787,0.6250656048404396
dinov2_vitl14,3,ashp,verified_v1,168,0.49616902329980855,0.9540242386169459,0.618023120793737
ALL,4,rsn_reported,verified_v1,420,0.878811541048293,0.5528047459041302,0.8431329112073773
ALL,4,openmax,verified_v1,420,0.8741401989054175,0.6158686786104124,0.8422795252229979
ALL,4,knn,verified_v1,420,0.8729171658181504,0.5950913916567677,0.8311202480777801
ALL,4,msp,verified_v1,420,0.8708759144508904,0.6176581278062853,0.8409544847421843
ALL,4,maxlogit,verified_v1,420,0.8694969745746078,0.6134323361947321,0.8406727810351364
ALL,4,gradnorm,verified_v1,420,0.8675914743927023,0.6018760935629006,0.8401703914214034
ALL,4,entropy,verified_v1,420,0.8660001982291584,0.5992917939744706,0.8404982325623865
ALL,4,rsn_paper,verified_v1,420,0.8649640799381008,0.6144930592255431,0.8255095981045146
ALL,4,gen,verified_v1,420,0.8640954465660031,0.5991540719741648,0.8395105547144084
ALL,4,energy,verified_v1,420,0.8624072431769211,0.5990069037982078,0.838623189563431
ALL,4,scale,verified_v1,420,0.8533351032899785,0.6086541886088577,0.8303220949584815
ALL,4,vim,verified_v1,420,0.8501526073583079,0.7323298938518874,0.7880948436526205
ALL,4,mahalanobis,verified_v1,420,0.847890732801354,0.724893952563155,0.7883666059123492
ALL,4,rmd,verified_v1,420,0.8478590919317982,0.5757710096243347,0.837577035013184
ALL,4,mahalanobispp,verified_v1,420,0.8448619917388093,0.7351258926553367,0.7841158865921775
ALL,4,kl_matching,verified_v1,420,0.8380103270731244,0.6258329222152148,0.8204021792742339
ALL,4,nci,verified_v1,420,0.8328458487798888,0.7182700943665935,0.784857152848047
ALL,4,dice,verified_v1,420,0.8042389548015101,0.8162179650421941,0.7516391820822534
ALL,4,react,verified_v1,420,0.6746461998368238,0.8397975381617957,0.6459761006509306
ALL,4,ashs,verified_v1,420,0.5252293334764719,0.942246184864454,0.5184181942097437
ALL,4,ashp,verified_v1,420,0.512142300961486,0.9546074310703242,0.5015149336838112
ALL,4,ashb,verified_v1,420,0.5114984973174734,0.9338648995393786,0.5180041444800298
