id_size,metric,rank,method,n,value
7,FPR95,15,mahalanobis,48,0.846273
7,FPR95,16,mahalanobispp,48,0.852433
7,FPR95,17,vim,48,0.859974
7,FPR95,18,dice,48,0.865078
7,FPR95,19,ashb,48,0.932922
7,FPR95,20,ashs,48,0.93445
7,FPR95,21,ashp,48,0.945873
7,AUPR_OUT,1,rmd,48,0.442245
7,AUPR_OUT,2,kl_matching,48,0.397176
7,AUPR_OUT,3,openmax,48,0.396961
7,AUPR_OUT,4,rsn_reported,48,0.388058
7,AUPR_OUT,5,knn,48,0.372852
7,AUPR_OUT,6,msp,48,0.32979
7,AUPR_OUT,7,maxlogit,48,0.327095
7,AUPR_OUT,8,entropy,48,0.308102
7,AUPR_OUT,9,nci,48,0.30708
7,AUPR_OUT,10,mahalanobis,48,0.305681
7,AUPR_OUT,11,gen,48,0.30339
7,AUPR_OUT,12,mahalanobispp,48,0.302569
7,AUPR_OUT,13,energy,48,0.302114
7,AUPR_OUT,14,gradnorm,48,0.301852
7,AUPR_OUT,15,scale,48,0.301652
7,AUPR_OUT,16,vim,48,0.292648
7,AUPR_OUT,17,react,48,0.287435
7,AUPR_OUT,18,dice,48,0.256425
7,AUPR_OUT,19,ashb,48,0.154339
7,AUPR_OUT,20,ashs,48,0.153595
7,AUPR_OUT,21,ashp,48,0.142223
