id_size,method_a,method_b,metric,n,mean_diff,ci_low,ci_high,good_rate
3,rsn_reported,openmax,AUPR_OUT,336,0.00987,0.004099,0.015642,0.553571
3,rsn_reported,psm,AUROC,336,0.024704,0.022448,0.02696,0.869048
3,rsn_reported,psm,FPR95,336,0.146316,0.135938,0.156694,0.973214
3,rsn_reported,psm,AUPR_OUT,336,0.030305,0.027792,0.032817,0.955357
3,rsn_reported,react,AUROC,336,0.252203,0.23594,0.268465,0.967262
3,rsn_reported,react,FPR95,336,0.371463,0.348329,0.394597,0.946429
3,rsn_reported,react,AUPR_OUT,336,0.197461,0.184871,0.210051,0.949405
3,rsn_reported,rmd,AUROC,336,0.048758,0.041933,0.055583,0.803571
3,rsn_reported,rmd,FPR95,336,0.053329,0.032734,0.073925,0.607143
3,rsn_reported,rmd,AUPR_OUT,336,0.019396,0.013996,0.024796,0.675595
3,rsn_reported,scale,AUROC,336,0.038605,0.029903,0.047307,0.625
3,rsn_reported,scale,FPR95,336,0.057266,0.03186,0.082672,0.607143
3,rsn_reported,scale,AUPR_OUT,336,0.016205,0.009565,0.022845,0.574405
3,rsn_reported,vim,AUROC,336,0.020722,0.018728,0.022716,0.877976
3,rsn_reported,vim,FPR95,336,0.156491,0.145337,0.167644,0.964286
3,rsn_reported,vim,AUPR_OUT,336,0.029287,0.026834,0.031741,0.96131
4,rsn_reported,ashb,AUROC,420,0.367313,0.357105,0.377521,1.0
4,rsn_reported,ashb,FPR95,420,0.38106,0.36336,0.398761,0.969048
4,rsn_reported,ashb,AUPR_OUT,420,0.325129,0.315735,0.334523,1.0
4,rsn_reported,ashp,AUROC,420,0.366669,0.357544,0.375794,1.0
4,rsn_reported,ashp,FPR95,420,0.401803,0.385226,0.41838,0.997619
4,rsn_reported,ashp,AUPR_OUT,420,0.341618,0.333765,0.349471,1.0
4,rsn_reported,ashs,AUROC,420,0.353582,0.343994,0.36317,1.0
4,rsn_reported,ashs,FPR95,420,0.389441,0.371996,0.406887,0.983333
4,rsn_reported,ashs,AUPR_OUT,420,0.324715,0.316302,0.333127,1.0
4,rsn_reported,dice,AUROC,420,0.074573,0.069892,0.079254,0.945238
4,rsn_reported,dice,FPR95,420,0.263413,0.249261,0.277565,0.947619
4,rsn_reported,dice,AUPR_OUT,420,0.091494,0.086189,0.096799,0.961905
4,rsn_reported,energy,AUROC,420,0.016404,0.009193,0.023616,0.492857
4,rsn_reported,energy,FPR95,420,0.046202,0.024104,0.068301,0.559524
4,rsn_reported,energy,AUPR_OUT,420,0.00451,-0.003778,0.012797,0.464286
4,rsn_reported,entropy,AUROC,420,0.012811,0.005993,0.01963,0.483333
4,rsn_reported,entropy,FPR95,420,0.046487,0.024449,0.068525,0.552381
4,rsn_reported,entropy,AUPR_OUT,420,0.002635,-0.005466,0.010735,0.464286
4,rsn_reported,gen,AUROC,420,0.014716,0.007685,0.021747,0.490476
4,rsn_reported,gen,FPR95,420,0.046349,0.024282,0.068416,0.557143
4,rsn_reported,gen,AUPR_OUT,420,0.003622,-0.004579,0.011824,0.464286
4,rsn_reported,gradnorm,AUROC,420,0.01122,0.004866,0.017574,0.480952
4,rsn_reported,gradnorm,FPR95,420,0.049071,0.027523,0.07062,0.571429
4,rsn_reported,gradnorm,AUPR_OUT,420,0.002963,-0.004844,0.010769,0.469048
4,rsn_reported,kl_matching,AUROC,420,0.040801,0.035758,0.045844,0.766667
4,rsn_reported,kl_matching,FPR95,420,0.073028,0.05355,0.092506,0.647619
4,rsn_reported,kl_matching,AUPR_OUT,420,0.022731,0.015933,0.029529,0.607143
4,rsn_reported,knn,AUROC,420,0.005894,0.004797,0.006992,0.688095
4,rsn_reported,knn,FPR95,420,0.042287,0.036305,0.048268,0.72381
4,rsn_reported,knn,AUPR_OUT,420,0.012013,0.010253,0.013773,0.714286
4,rsn_reported,mahalanobis,AUROC,420,0.030921,0.028882,0.03296,0.969048
4,rsn_reported,mahalanobis,FPR95,420,0.172089,0.162391,0.181788,0.990476
4,rsn_reported,mahalanobis,AUPR_OUT,420,0.054766,0.051451,0.058081,1.0
4,rsn_reported,mahalanobispp,AUROC,420,0.03395,0.031777,0.036122,0.985714
4,rsn_reported,mahalanobispp,FPR95,420,0.182321,0.172264,0.192379,0.995238
4,rsn_reported,mahalanobispp,AUPR_OUT,420,0.059017,0.055457,0.062577,1.0
4,rsn_reported,maxlogit,AUROC,420,0.009315,0.003013,0.015616,0.466667
4,rsn_reported,maxlogit,FPR95,420,0.060628,0.039137,0.082118,0.585714
4,rsn_reported,maxlogit,AUPR_OUT,420,0.00246,-0.005283,0.010204,0.457143
4,rsn_reported,msp,AUROC,420,0.007936,0.00184,0.014031,0.457143
4,rsn_reported,msp,FPR95,420,0.064853,0.043537,0.086169,0.6
4,rsn_reported,msp,AUPR_OUT,420,0.002178,-0.005441,0.009798,0.459524
4,rsn_reported,nci,AUROC,420,0.045966,0.04079,0.051141,0.828571
4,rsn_reported,nci,FPR95,420,0.165465,0.144863,0.186067,0.742857
4,rsn_reported,nci,AUPR_OUT,420,0.058276,0.05079,0.065762,0.757143
4,rsn_reported,openmax,AUROC,420,0.004671,-0.0005,0.009843,0.457143
4,rsn_reported,openmax,FPR95,420,0.063064,0.043922,0.082205,0.607143
4,rsn_reported,openmax,AUPR_OUT,420,0.000853,-0.005815,0.007522,0.497619
4,rsn_reported,psm,AUROC,420,0.031623,0.029379,0.033867,0.935714
4,rsn_reported,psm,FPR95,420,0.166107,0.156469,0.175745,0.990476
4,rsn_reported,psm,AUPR_OUT,420,0.054392,0.050922,0.057861,1.0
4,rsn_reported,react,AUROC,420,0.204165,0.18791,0.22042,0.9
4,rsn_reported,react,FPR95,420,0.286993,0.26391,0.310075,0.864286
4,rsn_reported,react,AUPR_OUT,420,0.197157,0.181855,0.212459,0.878571
4,rsn_reported,rmd,AUROC,420,0.030952,0.025617,0.036288,0.669048
4,rsn_reported,rmd,FPR95,420,0.022966,0.005069,0.040864,0.538095
4,rsn_reported,rmd,AUPR_OUT,420,0.005556,-0.000933,0.012045,0.492857
4,rsn_reported,scale,AUROC,420,0.025476,0.017464,0.033489,0.52619
4,rsn_reported,scale,FPR95,420,0.055849,0.033234,0.078465,0.57381
4,rsn_reported,scale,AUPR_OUT,420,0.012811,0.003798,0.021823,0.514286
4,rsn_reported,vim,AUROC,420,0.028659,0.026584,0.030733,0.952381
4,rsn_reported,vim,FPR95,420,0.179525,0.169444,0.189606,0.97619
4,rsn_reported,vim,AUPR_OUT,420,0.055038,0.051579,0.058497,1.0
5,rsn_reported,ashb,AUROC,336,0.345961,0.333391,0.358531,1.0
5,rsn_reported,ashb,FPR95,336,0.341582,0.319808,0.363356,0.949405
5,rsn_reported,ashb,AUPR_OUT,336,0.343424,0.330014,0.356835,1.0
5,rsn_reported,ashp,AUROC,336,0.322992,0.310818,0.335166,0.997024
5,rsn_reported,ashp,FPR95,336,0.351268,0.330729,0.371806,0.982143
5,rsn_reported,ashp,AUPR_OUT,336,0.343372,0.331232,0.355513,0.997024
5,rsn_reported,ashs,AUROC,336,0.318759,0.3059,0.331617,0.997024
5,rsn_reported,ashs,FPR95,336,0.345147,0.323456,0.366839,0.952381
5,rsn_reported,ashs,AUPR_OUT,336,0.335375,0.322112,0.348639,0.997024
5,rsn_reported,dice,AUROC,336,0.097945,0.09248,0.10341,0.994048
5,rsn_reported,dice,FPR95,336,0.238476,0.223038,0.253914,0.96131
5,rsn_reported,dice,AUPR_OUT,336,0.124265,0.117438,0.131091,1.0
5,rsn_reported,energy,AUROC,336,0.014332,0.005597,0.023068,0.46131
5,rsn_reported,energy,FPR95,336,0.074578,0.049323,0.099833,0.595238
5,rsn_reported,energy,AUPR_OUT,336,0.012356,-0.00095,0.025661,0.482143
5,rsn_reported,entropy,AUROC,336,0.009379,0.001209,0.017549,0.446429
5,rsn_reported,entropy,FPR95,336,0.075009,0.049834,0.100183,0.595238
5,rsn_reported,entropy,AUPR_OUT,336,0.009166,-0.003784,0.022116,0.473214
5,rsn_reported,gen,AUROC,336,0.012629,0.004084,0.021173,0.455357
5,rsn_reported,gen,FPR95,336,0.074798,0.049552,0.100044,0.595238
5,rsn_reported,gen,AUPR_OUT,336,0.011299,-0.001892,0.02449,0.479167
5,rsn_reported,gradnorm,AUROC,336,0.009896,0.002205,0.017588,0.440476
5,rsn_reported,gradnorm,FPR95,336,0.07645,0.051919,0.100982,0.604167
5,rsn_reported,gradnorm,AUPR_OUT,336,0.011192,-0.001298,0.023682,0.508929
5,rsn_reported,kl_matching,AUROC,336,0.026157,0.020873,0.03144,0.654762
5,rsn_reported,kl_matching,FPR95,336,0.067169,0.046031,0.088306,0.616071
5,rsn_reported,kl_matching,AUPR_OUT,336,0.0153,0.005322,0.025277,0.550595
5,rsn_reported,knn,AUROC,336,0.00588,0.004521,0.007238,0.684524
5,rsn_reported,knn,FPR95,336,0.044867,0.037714,0.052019,0.714286
5,rsn_reported,knn,AUPR_OUT,336,0.016245,0.013534,0.018956,0.696429
5,rsn_reported,mahalanobis,AUROC,336,0.03604,0.033487,0.038593,0.988095
5,rsn_reported,mahalanobis,FPR95,336,0.178003,0.166004,0.190003,0.994048
5,rsn_reported,mahalanobis,AUPR_OUT,336,0.077592,0.072817,0.082368,1.0
5,rsn_reported,mahalanobispp,AUROC,336,0.039218,0.036476,0.041959,0.991071
5,rsn_reported,mahalanobispp,FPR95,336,0.186886,0.174503,0.199269,1.0
5,rsn_reported,mahalanobispp,AUPR_OUT,336,0.082416,0.077339,0.087493,1.0
5,rsn_reported,maxlogit,AUROC,336,0.003266,-0.004142,0.010674,0.434524
5,rsn_reported,maxlogit,FPR95,336,0.084333,0.06028,0.108386,0.622024
