backbone,id_size,method,n,AUROC,FPR95,AUPR_OUT
dinov2_vitl14,4,ashb,210,0.49442,0.941506,0.50449
dinov2_vitl14,4,ashp,210,0.494551,0.957351,0.491503
dinov2_vitl14,4,ashs,210,0.497098,0.948452,0.501249
dinov2_vitl14,4,dice,210,0.835085,0.774275,0.78235
dinov2_vitl14,4,energy,210,0.866736,0.593116,0.842442
dinov2_vitl14,4,entropy,210,0.869954,0.594022,0.843992
dinov2_vitl14,4,gen,210,0.868243,0.593629,0.84315
dinov2_vitl14,4,gradnorm,210,0.872263,0.590132,0.845294
dinov2_vitl14,4,kl_matching,210,0.839342,0.620665,0.822347
dinov2_vitl14,4,knn,210,0.885564,0.580112,0.846008
dinov2_vitl14,4,mahalanobis,210,0.870248,0.665398,0.817754
dinov2_vitl14,4,mahalanobispp,210,0.868258,0.671657,0.815475
dinov2_vitl14,4,maxlogit,210,0.872878,0.610362,0.843881
dinov2_vitl14,4,msp,210,0.874116,0.614526,0.844089
dinov2_vitl14,4,nci,210,0.849701,0.642595,0.814077
dinov2_vitl14,4,openmax,210,0.878551,0.612473,0.846122
dinov2_vitl14,4,react,210,0.619503,0.87791,0.595809
dinov2_vitl14,4,rmd,210,0.845017,0.586947,0.832047
dinov2_vitl14,4,rsn_paper,210,0.869349,0.610594,0.828699
dinov2_vitl14,4,rsn_reported,210,0.889502,0.543309,0.851884
dinov2_vitl14,4,scale,210,0.863252,0.60089,0.838688
dinov2_vitl14,4,vim,210,0.873933,0.673068,0.818257
ALL,5,ashb,336,0.516418,0.936816,0.398353
ALL,5,ashp,336,0.539387,0.946502,0.398405
ALL,5,ashs,336,0.54362,0.940381,0.406402
ALL,5,dice,336,0.764434,0.83371,0.617513
ALL,5,energy,336,0.848047,0.669812,0.729421
ALL,5,entropy,336,0.853,0.670242,0.732611
ALL,5,gen,336,0.84975,0.670032,0.730478
ALL,5,gradnorm,336,0.852483,0.671684,0.730585
ALL,5,kl_matching,336,0.836222,0.662402,0.726478
