scope,id_size,method,n,AUROC,FPR95,AUPR_OUT,AUPR_OUT_BALANCED
id_size=6,6,global_std_huber_k150,168,0.8470085362215349,0.6558659774379106,0.5856361305047902,0.7929894374519506
id_size=6,6,knn_l2_pooled_k50_kth,168,0.8397408139259939,0.6835325193081283,0.5774711811486514,0.7864047222221048
id_size=6,6,knn_raw_classwise_k150_mean,168,0.8494472781588298,0.6423689694345152,0.5940765719956326,0.7981070503052824
id_size=6,6,knn_raw_pooled_k150_kth,168,0.846355275693343,0.6335195809559308,0.5947598261665117,0.7984693947477194
id_size=6,6,knn_raw_pooled_k150_mean,168,0.8456814571115193,0.6503232804831647,0.5918683154035507,0.796208358245353
id_size=6,6,nnguide_k10,168,0.8325640550281083,0.736688244836536,0.5468981638661339,0.7707545200230406
id_size=6,6,nnguide_k50,168,0.8415332559088943,0.723827488675811,0.5681702588240204,0.7818681948610782
id_size=6,6,raw_classwise_huber_k150,168,0.8492353829044939,0.641786243038356,0.5935841492930736,0.7978304555200938
id_size=6,6,raw_classwise_squared_k150,168,0.849324217980157,0.6397020825496995,0.5936699997518671,0.7978650248917225
id_size=6,6,raw_pooled_huber_k150,168,0.845492145934285,0.6500088715542132,0.5915528467042661,0.7960302122683773
id_size=6,6,rsn_class_std_huber_calibrated,168,0.8390785756764549,0.7197031016905564,0.5678856743519924,0.7807321315145092
id_size=6,6,rsn_class_std_huber_k150,168,0.8453824118306738,0.6335892730214432,0.5952763206264686,0.7979217078545114
id_size=6,6,rsn_equalbank3000,168,0.8385308155895016,0.6683303473151969,0.5795880291052287,0.788337533147342
id_size=7,7,class_iqr_huber_k150,48,0.8212262333615253,0.6846508281738216,0.3868730276528965,0.7558866469755383
id_size=7,7,class_mad_huber_k150,48,0.8211555541621132,0.6844988491320843,0.386674010186202,0.7558479568140571
id_size=7,7,class_std_euclidean_k150,48,0.8222841735672922,0.6910323059357909,0.38565994348827476,0.7550787534066261
id_size=7,7,class_std_squared_k150,48,0.8221294307594728,0.6885404533931007,0.3855002378406656,0.7549830757457726
id_size=7,7,global_std_euclidean_k150,48,0.823854365385281,0.715665325808852,0.37630144974511204,0.7510743483163399
id_size=7,7,global_std_huber_k150,48,0.8243152952303271,0.7090828623043327,0.3785209660977074,0.7521673898546508
id_size=7,7,global_std_squared_k150,48,0.8236676205554323,0.711070073633548,0.3759315636819398,0.7507817949452077
id_size=7,7,knn_l2_pooled_k50_kth,48,0.8171009956470966,0.735542595951311,0.37285166610715686,0.7463963495426927
id_size=7,7,knn_raw_classwise_k150_mean,48,0.8269354110241361,0.697988212515603,0.38587891181090656,0.756450275468481
id_size=7,7,knn_raw_pooled_k150_kth,48,0.8230227665452782,0.6901953816485298,0.3891563971685384,0.7560119269543769
id_size=7,7,knn_raw_pooled_k150_mean,48,0.822959429278122,0.707672531762932,0.38426017427316156,0.7547591202125791
id_size=7,7,l2_class_std_euclidean_k150,48,0.8201417878544474,0.7115717102590408,0.37810465362342577,0.7501631251465074
id_size=7,7,l2_class_std_huber_k150,48,0.8202737128639696,0.7055870181697047,0.38010998877360525,0.751030285139036
id_size=7,7,l2_class_std_squared_k150,48,0.8199880651435819,0.7079475929922788,0.3779884460954562,0.7500793106070188
id_size=7,7,nnguide_k10,48,0.8068532940448957,0.7897798671334852,0.33127214620810513,0.7320460579648801
id_size=7,7,nnguide_k50,48,0.8173638844956829,0.7785193137991989,0.3588739981551954,0.7413600925593943
id_size=7,7,raw_classwise_huber_k150,48,0.8267009997967619,0.6975202294819165,0.385544543416206,0.7562029964229868
id_size=7,7,raw_classwise_squared_k150,48,0.8267820812670341,0.6948910388982593,0.38578554972059265,0.7562839109321117
id_size=7,7,raw_pooled_huber_k150,48,0.8227409935735942,0.707284718335626,0.38401953780412285,0.7545527232235857
id_size=7,7,rsn_class_std_huber_calibrated,48,0.8167586243482882,0.7671875620050335,0.36010510135438584,0.7418981418181015
id_size=7,7,rsn_class_std_huber_k150,48,0.8224288435354952,0.6857278658321005,0.388057517974486,0.7560788304074793
id_size=7,7,rsn_delta075,48,0.8224776700366053,0.6850780301696267,0.38871106722108584,0.7563701321934716
