scope,method_a,method_b,metric,cluster_unit,n_clusters,mean_effect,ci_low,ci_high,permutation_p,good_rate
id_size=7,rsn_class_std_huber_k150,class_mad_huber_k150,FPR95,id_set_after_seed_backbone_mean,8,-0.0012290167000162163,-0.03227533183472448,0.02258910690937322,0.9519048095190481,0.75
m2_m7_equal_weight,rsn_class_std_huber_k150,class_mad_huber_k150,FPR95,id_set_stratified_by_id_size,246,0.0008102182043898757,-0.005016913098399342,0.005413957553810818,0.4450554944505549,0.5772357723577236
id_size=2,rsn_class_std_huber_k150,class_mad_huber_k150,AUPR_OUT,id_set_after_seed_backbone_mean,28,0.0006195652472210794,5.8640411902897825e-05,0.0011817765341256604,0.0466953304669533,0.6071428571428571
id_size=3,rsn_class_std_huber_k150,class_mad_huber_k150,AUPR_OUT,id_set_after_seed_backbone_mean,56,0.0005540974071024646,-0.00024296855424703868,0.0013377182127879473,0.17368263173682633,0.6428571428571429
id_size=4,rsn_class_std_huber_k150,class_mad_huber_k150,AUPR_OUT,id_set_after_seed_backbone_mean,70,0.0007374492406649501,-0.00048316146092690484,0.0018108735009168524,0.22317768223177684,0.6285714285714286
id_size=5,rsn_class_std_huber_k150,class_mad_huber_k150,AUPR_OUT,id_set_after_seed_backbone_mean,56,0.0011164265888617096,-0.000856139010770628,0.002987134387869998,0.2625737426257374,0.5892857142857143
id_size=6,rsn_class_std_huber_k150,class_mad_huber_k150,AUPR_OUT,id_set_after_seed_backbone_mean,28,0.0017059579988762316,-0.0019666832205624775,0.0051144847228888285,0.36236376362363765,0.6428571428571429
id_size=7,rsn_class_std_huber_k150,class_mad_huber_k150,AUPR_OUT,id_set_after_seed_backbone_mean,8,0.001383507788284011,-0.009181069509958537,0.00998872446010094,0.7681231876812319,0.625
m2_m7_equal_weight,rsn_class_std_huber_k150,class_mad_huber_k150,AUPR_OUT,id_set_stratified_by_id_size,246,0.0010195007118350744,-0.0008264837384084991,0.0026369525772283174,0.022097790220977902,0.6219512195121951
id_size=2,rsn_class_std_huber_k150,class_mad_huber_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,28,0.001494066600288828,0.0002025698218424703,0.002791015799714661,0.0321967803219678,0.6428571428571429
id_size=3,rsn_class_std_huber_k150,class_mad_huber_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,56,0.0009699132695878415,-0.00010201161697247365,0.0019752664709091093,0.0781921807819218,0.6607142857142857
id_size=4,rsn_class_std_huber_k150,class_mad_huber_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,70,0.0009245679795701081,-0.00018305286593218773,0.0019570185341884674,0.0948905109489051,0.6285714285714286
id_size=5,rsn_class_std_huber_k150,class_mad_huber_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,56,0.001010463062878875,-0.0005070173506208221,0.0023980359518618946,0.18438156184381563,0.5892857142857143
id_size=6,rsn_class_std_huber_k150,class_mad_huber_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,28,0.0008259852465036652,-0.0018018699975904783,0.003284885628668545,0.5381461853814619,0.5714285714285714
id_size=7,rsn_class_std_huber_k150,class_mad_huber_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,8,0.00023087359342205144,-0.006048245087349279,0.00569772244959842,0.9519048095190481,0.625
m2_m7_equal_weight,rsn_class_std_huber_k150,class_mad_huber_k150,AUPR_OUT_BALANCED,id_set_stratified_by_id_size,246,0.0009093116253752282,-0.00028866439786627454,0.0019822411620036466,0.0029997000299970002,0.6219512195121951
id_size=2,rsn_class_std_huber_k150,class_std_euclidean_k150,AUROC,id_set_after_seed_backbone_mean,28,0.0004756941409244514,0.00038516320099253094,0.0005732017599239738,9.999000099990002e-05,1.0
id_size=3,rsn_class_std_huber_k150,class_std_euclidean_k150,AUROC,id_set_after_seed_backbone_mean,0,,,,,
id_size=4,rsn_class_std_huber_k150,class_std_euclidean_k150,AUROC,id_set_after_seed_backbone_mean,70,0.00037606551526430244,0.00031834678571235683,0.00043366059647837195,9.999000099990002e-05,0.9285714285714286
id_size=5,rsn_class_std_huber_k150,class_std_euclidean_k150,AUROC,id_set_after_seed_backbone_mean,0,,,,,
id_size=6,rsn_class_std_huber_k150,class_std_euclidean_k150,AUROC,id_set_after_seed_backbone_mean,0,,,,,
id_size=7,rsn_class_std_huber_k150,class_std_euclidean_k150,AUROC,id_set_after_seed_backbone_mean,8,0.00014466996820308026,-0.00038440500468709527,0.0006269297937452222,0.6291370862913709,0.625
m2_m7_equal_weight,rsn_class_std_huber_k150,class_std_euclidean_k150,AUROC,id_set_stratified_by_id_size,106,0.00033214320813061135,0.00015034299908233567,0.0004982915808415697,9.999000099990002e-05,0.9245283018867925
id_size=2,rsn_class_std_huber_k150,class_std_euclidean_k150,FPR95,id_set_after_seed_backbone_mean,28,0.005463764399068044,0.0037390730934941563,0.007344945852870118,9.999000099990002e-05,1.0
id_size=3,rsn_class_std_huber_k150,class_std_euclidean_k150,FPR95,id_set_after_seed_backbone_mean,0,,,,,
id_size=4,rsn_class_std_huber_k150,class_std_euclidean_k150,FPR95,id_set_after_seed_backbone_mean,70,0.005669387516010828,0.004752671210839578,0.006618539265436744,9.999000099990002e-05,0.9857142857142858
id_size=5,rsn_class_std_huber_k150,class_std_euclidean_k150,FPR95,id_set_after_seed_backbone_mean,0,,,,,
id_size=6,rsn_class_std_huber_k150,class_std_euclidean_k150,FPR95,id_set_after_seed_backbone_mean,0,,,,,
id_size=7,rsn_class_std_huber_k150,class_std_euclidean_k150,FPR95,id_set_after_seed_backbone_mean,8,0.00530444010369043,0.0002866499935648102,0.011528663537597125,0.10828917108289171,0.625
m2_m7_equal_weight,rsn_class_std_huber_k150,class_std_euclidean_k150,FPR95,id_set_stratified_by_id_size,106,0.005479197339589767,0.0037542863407806024,0.007626390572755653,9.999000099990002e-05,0.9622641509433962
id_size=2,rsn_class_std_huber_k150,class_std_euclidean_k150,AUPR_OUT,id_set_after_seed_backbone_mean,28,0.0006900455048031571,0.0005109318348157922,0.0008859793035756092,9.999000099990002e-05,1.0
id_size=3,rsn_class_std_huber_k150,class_std_euclidean_k150,AUPR_OUT,id_set_after_seed_backbone_mean,0,,,,,
id_size=4,rsn_class_std_huber_k150,class_std_euclidean_k150,AUPR_OUT,id_set_after_seed_backbone_mean,70,0.0018110615144549913,0.0016212283828393786,0.002011115079086631,9.999000099990002e-05,1.0
id_size=5,rsn_class_std_huber_k150,class_std_euclidean_k150,AUPR_OUT,id_set_after_seed_backbone_mean,0,,,,,
id_size=6,rsn_class_std_huber_k150,class_std_euclidean_k150,AUPR_OUT,id_set_after_seed_backbone_mean,0,,,,,
id_size=7,rsn_class_std_huber_k150,class_std_euclidean_k150,AUPR_OUT,id_set_after_seed_backbone_mean,8,0.0023975744862113,0.0005324259247236436,0.004471797351702059,0.06109389061093891,0.75
m2_m7_equal_weight,rsn_class_std_huber_k150,class_std_euclidean_k150,AUPR_OUT,id_set_stratified_by_id_size,106,0.0016328938351564827,0.001007741403483544,0.002339405195618559,9.999000099990002e-05,0.9811320754716981
id_size=2,rsn_class_std_huber_k150,class_std_euclidean_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,28,0.0017012208156647073,0.001389168546550399,0.0020238939366097925,9.999000099990002e-05,1.0
id_size=3,rsn_class_std_huber_k150,class_std_euclidean_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,0,,,,,
id_size=4,rsn_class_std_huber_k150,class_std_euclidean_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,70,0.0017894116626367537,0.0016288560228101526,0.001952474860362545,9.999000099990002e-05,1.0
id_size=5,rsn_class_std_huber_k150,class_std_euclidean_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,0,,,,,
id_size=6,rsn_class_std_huber_k150,class_std_euclidean_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,0,,,,,
id_size=7,rsn_class_std_huber_k150,class_std_euclidean_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,8,0.0010000770008529885,2.6610157420550436e-05,0.002080642701076586,0.1496850314968503,0.75
m2_m7_equal_weight,rsn_class_std_huber_k150,class_std_euclidean_k150,AUPR_OUT_BALANCED,id_set_stratified_by_id_size,106,0.00149690315971815,0.0011491848137995292,0.0018884768763637988,9.999000099990002e-05,0.9811320754716981
id_size=2,rsn_class_std_huber_k150,class_std_squared_k150,AUROC,id_set_after_seed_backbone_mean,28,0.0006899517014610773,0.0006073558945506437,0.0007694745448424327,9.999000099990002e-05,1.0
id_size=3,rsn_class_std_huber_k150,class_std_squared_k150,AUROC,id_set_after_seed_backbone_mean,56,0.0005844107957773956,0.0005339520842039508,0.0006353002232091929,9.999000099990002e-05,1.0
id_size=4,rsn_class_std_huber_k150,class_std_squared_k150,AUROC,id_set_after_seed_backbone_mean,70,0.0005019786499650395,0.000452296134311316,0.000550896010080351,9.999000099990002e-05,0.9857142857142858
id_size=5,rsn_class_std_huber_k150,class_std_squared_k150,AUROC,id_set_after_seed_backbone_mean,56,0.00042999146729041395,0.0003659294501160908,0.0004928820007707555,9.999000099990002e-05,0.9821428571428571
id_size=6,rsn_class_std_huber_k150,class_std_squared_k150,AUROC,id_set_after_seed_backbone_mean,28,0.00036407266014170357,0.0002556599126229398,0.00046934577907283877,9.999000099990002e-05,0.8571428571428571
