method,ood_class,AUROC,FPR95,AUPR_OUT,AUPR_OUT_BALANCED
knn_raw_pooled_k150_mean,cheetah,0.9217847320414528,0.5876510749141317,0.6186964752321646,0.8521878606226424
knn_raw_pooled_k150_mean,jaguar,0.7510850002747469,0.7990960524114992,0.38142552888170045,0.6930392210367816
knn_raw_pooled_k150_mean,leopard,0.7749531335534307,0.7821944002251835,0.4185909763218662,0.7084517019487551
knn_raw_pooled_k150_mean,lion,0.9515439720869322,0.365853869053996,0.7770097070945268,0.902999488744163
knn_raw_pooled_k150_mean,ocelot,0.8074749546999885,0.8574704717554229,0.4312136455146862,0.7163645130612261
knn_raw_pooled_k150_mean,puma,0.915525502471741,0.5220667799253157,0.7338348768850409,0.8615586211306803
knn_raw_pooled_k150_mean,serval,0.90701961975151,0.5774605520457493,0.5744004338158387,0.8663099205052021
knn_raw_pooled_k150_mean,tiger,0.977469316855072,0.05254898271403949,0.9248575337636276,0.9678311434780611
l2_class_std_euclidean_k150,cheetah,0.9205632839361435,0.6371662223150164,0.6228825107399913,0.8405649372201561
l2_class_std_euclidean_k150,jaguar,0.7778033489700581,0.7531511818030266,0.43715599079488354,0.7206850688151164
l2_class_std_euclidean_k150,leopard,0.778405539125597,0.7212732417391975,0.46650520267532547,0.7194610600873651
l2_class_std_euclidean_k150,lion,0.9520878537182729,0.36103513803686005,0.7895730680562327,0.9019297244090346
l2_class_std_euclidean_k150,ocelot,0.7979558264554723,0.8473001004203002,0.44780301815723117,0.7068647240404617
l2_class_std_euclidean_k150,puma,0.9160597681172045,0.6163344730568042,0.730838971018608,0.8485266961298631
l2_class_std_euclidean_k150,serval,0.9183448151438139,0.5411169137065985,0.6147292300821713,0.8757129719410914
l2_class_std_euclidean_k150,tiger,0.9721290015395847,0.09077380641750522,0.9040194006235822,0.9546903602868553
l2_class_std_huber_k150,cheetah,0.9216338203703531,0.6261434517047336,0.6282552602371544,0.8436513432452725
l2_class_std_huber_k150,jaguar,0.7780253887207079,0.7502248188746449,0.43883563099511896,0.7216013709314093
l2_class_std_huber_k150,leopard,0.7781487516863559,0.7177308027089984,0.468445489846505,0.7203257065525586
l2_class_std_huber_k150,lion,0.9526599603678956,0.35172243874347003,0.7931505405622726,0.9039235046814764
l2_class_std_huber_k150,ocelot,0.7982372513054687,0.8455798889382549,0.4484454034396377,0.7072376098172913
l2_class_std_huber_k150,puma,0.916302108249312,0.6107950476304921,0.732160118729955,0.849418019939438
l2_class_std_huber_k150,serval,0.9183854691221791,0.5398545408554877,0.6162791442800413,0.8763122504192808
l2_class_std_huber_k150,tiger,0.9727946815923978,0.08750220539838592,0.9076044317605829,0.9563892646163832
l2_class_std_squared_k150,cheetah,0.9206030462191195,0.6343433843504679,0.6224344430598155,0.840386927777223
l2_class_std_squared_k150,jaguar,0.7777332483450536,0.7540360039476725,0.4364714988579453,0.7201818649569429
l2_class_std_squared_k150,leopard,0.7777588638608688,0.7224982400775584,0.4654837332280296,0.7186156907460219
l2_class_std_squared_k150,lion,0.9521694996093658,0.3545578326803059,0.7898250893141027,0.9020785008865706
l2_class_std_squared_k150,ocelot,0.797883328693798,0.8476675937604929,0.44725301233484616,0.7063716649807814
l2_class_std_squared_k150,puma,0.9159944241538593,0.6193989454372979,0.7294573873989649,0.8474874343706483
l2_class_std_squared_k150,serval,0.9179011764305344,0.5434873223819142,0.6124088822389205,0.8746110675916733
l2_class_std_squared_k150,tiger,0.9718038286491727,0.09294165079835351,0.9020992499875209,0.9537647220077538
nnguide_k10,cheetah,0.8737281908549764,0.7126895984543864,0.5132086743687486,0.7853397699615235
nnguide_k10,jaguar,0.7646357980703682,0.839341700525569,0.3788455320833133,0.6989221057188949
nnguide_k10,leopard,0.7930938124637132,0.831244959880633,0.4170321551403814,0.7171983550690397
nnguide_k10,lion,0.9226571341413166,0.4804461524491093,0.7117479099325712,0.8710542073369194
nnguide_k10,ocelot,0.8085669723740968,0.8686137526121844,0.4305470443883398,0.7197523437559232
nnguide_k10,puma,0.9297839043511336,0.4552236673981758,0.7691742655719206,0.8854815415470269
nnguide_k10,serval,0.9164314323702262,0.5210645818148651,0.6071570853748335,0.8826094587274227
nnguide_k10,tiger,0.9621394584366225,0.22706974158629376,0.8517021692274075,0.9357972908508924
nnguide_k50,cheetah,0.9039049194735772,0.7042834301251997,0.5664597504039895,0.819715341655765
nnguide_k50,jaguar,0.7590962201856167,0.830398247023839,0.37618825140436124,0.6932609730288067
nnguide_k50,leopard,0.7835957206055505,0.8178140346256143,0.4130695311203091,0.7085346027138694
nnguide_k50,lion,0.9428413176708673,0.48889172504134815,0.740353594787647,0.8853740442517899
