backbone,id_size,method,ood_class,n,AUROC,FPR95,AUPR_OUT
dinov2_vitb14,ALL,diag_huber_raw,cheetah,360,0.912278,0.670157,0.583434
dinov2_vitb14,ALL,diag_huber_raw,jaguar,360,0.75189,0.749944,0.406441
dinov2_vitb14,ALL,diag_huber_raw,leopard,360,0.735217,0.732391,0.42455
dinov2_vitb14,ALL,diag_huber_raw,lion,360,0.951929,0.29306,0.79842
dinov2_vitb14,ALL,diag_huber_raw,ocelot,360,0.777536,0.863055,0.400599
dinov2_vitb14,ALL,diag_huber_raw,puma,360,0.911822,0.596328,0.706529
dinov2_vitb14,ALL,diag_huber_raw,serval,360,0.905188,0.571464,0.571027
dinov2_vitb14,ALL,diag_huber_raw,tiger,360,0.97044,0.086605,0.886808
dinov2_vitl14,2,diag_huber_raw,cheetah,63,0.945142,0.424498,0.803825
dinov2_vitl14,2,diag_huber_raw,jaguar,63,0.845447,0.639656,0.629049
dinov2_vitl14,2,diag_huber_raw,leopard,63,0.860132,0.583942,0.669129
dinov2_vitl14,2,diag_huber_raw,lion,63,0.961943,0.324973,0.882378
dinov2_vitl14,2,diag_huber_raw,ocelot,63,0.858728,0.69881,0.659288
dinov2_vitl14,2,diag_huber_raw,puma,63,0.932408,0.484678,0.853574
dinov2_vitl14,2,diag_huber_raw,serval,63,0.946187,0.386372,0.79046
dinov2_vitl14,2,diag_huber_raw,tiger,63,0.982218,0.038579,0.964322
dinov2_vitl14,3,diag_huber_raw,cheetah,105,0.938345,0.511511,0.702591
dinov2_vitl14,3,diag_huber_raw,jaguar,105,0.801846,0.726813,0.46766
dinov2_vitl14,3,diag_huber_raw,leopard,105,0.815726,0.676073,0.513515
dinov2_vitl14,3,diag_huber_raw,lion,105,0.957,0.360559,0.817023
dinov2_vitl14,3,diag_huber_raw,ocelot,105,0.825119,0.820835,0.496373
dinov2_vitl14,3,diag_huber_raw,puma,105,0.921482,0.564105,0.768062
dinov2_vitl14,3,diag_huber_raw,serval,105,0.934083,0.471723,0.673265
dinov2_vitl14,3,diag_huber_raw,tiger,105,0.979981,0.039844,0.944684
dinov2_vitl14,4,diag_huber_raw,cheetah,105,0.933142,0.570494,0.612584
dinov2_vitl14,4,diag_huber_raw,jaguar,105,0.763737,0.800228,0.345841
dinov2_vitl14,4,diag_huber_raw,leopard,105,0.7738,0.754857,0.387432
dinov2_vitl14,4,diag_huber_raw,lion,105,0.953258,0.364955,0.754633
dinov2_vitl14,4,diag_huber_raw,ocelot,105,0.799433,0.891649,0.378311
dinov2_vitl14,4,diag_huber_raw,puma,105,0.913677,0.623156,0.69188
dinov2_vitl14,4,diag_huber_raw,serval,105,0.923982,0.543295,0.570963
dinov2_vitl14,4,diag_huber_raw,tiger,105,0.978546,0.042036,0.927058
dinov2_vitl14,5,diag_huber_raw,cheetah,63,0.92911,0.609611,0.535818
dinov2_vitl14,5,diag_huber_raw,jaguar,63,0.72964,0.858898,0.255333
dinov2_vitl14,5,diag_huber_raw,leopard,63,0.733613,0.827182,0.286073
dinov2_vitl14,5,diag_huber_raw,lion,63,0.950293,0.352856,0.696326
dinov2_vitl14,5,diag_huber_raw,ocelot,63,0.779551,0.928949,0.297279
dinov2_vitl14,5,diag_huber_raw,puma,63,0.907577,0.66557,0.626282
dinov2_vitl14,5,diag_huber_raw,serval,63,0.914992,0.611683,0.48333
dinov2_vitl14,5,diag_huber_raw,tiger,63,0.977582,0.043267,0.911461
dinov2_vitl14,6,diag_huber_raw,cheetah,21,0.925895,0.624141,0.472131
dinov2_vitl14,6,diag_huber_raw,jaguar,21,0.698692,0.908838,0.18795
dinov2_vitl14,6,diag_huber_raw,leopard,21,0.694678,0.896347,0.203896
dinov2_vitl14,6,diag_huber_raw,lion,21,0.947918,0.331837,0.642657
dinov2_vitl14,6,diag_huber_raw,ocelot,21,0.764027,0.949555,0.241819
dinov2_vitl14,6,diag_huber_raw,puma,21,0.902576,0.69316,0.570693
dinov2_vitl14,6,diag_huber_raw,serval,21,0.906725,0.677012,0.408604
dinov2_vitl14,6,diag_huber_raw,tiger,21,0.976875,0.044564,0.897236
dinov2_vitl14,7,diag_huber_raw,cheetah,3,0.923286,0.618721,0.419694
dinov2_vitl14,7,diag_huber_raw,jaguar,3,0.670518,0.951514,0.137378
dinov2_vitl14,7,diag_huber_raw,leopard,3,0.656732,0.961939,0.135988
dinov2_vitl14,7,diag_huber_raw,lion,3,0.946028,0.314594,0.594006
dinov2_vitl14,7,diag_huber_raw,ocelot,3,0.751916,0.961596,0.202452
dinov2_vitl14,7,diag_huber_raw,puma,3,0.898443,0.71664,0.524287
dinov2_vitl14,7,diag_huber_raw,serval,3,0.898999,0.735598,0.345315
dinov2_vitl14,7,diag_huber_raw,tiger,3,0.976331,0.04669,0.883471
dinov2_vitl14,ALL,diag_huber_raw,cheetah,360,0.935549,0.538118,0.649069
dinov2_vitl14,ALL,diag_huber_raw,jaguar,360,0.778613,0.768579,0.404147
dinov2_vitl14,ALL,diag_huber_raw,leopard,360,0.788513,0.724604,0.442964
dinov2_vitl14,ALL,diag_huber_raw,lion,360,0.954978,0.352207,0.777111
dinov2_vitl14,ALL,diag_huber_raw,ocelot,360,0.811361,0.847736,0.438309
dinov2_vitl14,ALL,diag_huber_raw,puma,360,0.917389,0.593984,0.722451
dinov2_vitl14,ALL,diag_huber_raw,serval,360,0.928026,0.516329,0.612526
dinov2_vitl14,ALL,diag_huber_raw,tiger,360,0.979322,0.041193,0.933888
ALL,2,diag_raw,cheetah,126,0.934621,0.493136,0.776393
ALL,2,diag_raw,jaguar,126,0.839077,0.632617,0.632957
ALL,2,diag_raw,leopard,126,0.846272,0.589239,0.664611
ALL,2,diag_raw,lion,126,0.960692,0.297898,0.886277
ALL,2,diag_raw,ocelot,126,0.846755,0.713401,0.64264
ALL,2,diag_raw,puma,126,0.930322,0.483649,0.847334
ALL,2,diag_raw,serval,126,0.93728,0.421428,0.773233
ALL,2,diag_raw,tiger,126,0.977571,0.073538,0.951131
ALL,3,diag_raw,cheetah,210,0.926022,0.588441,0.664088
ALL,3,diag_raw,jaguar,210,0.791144,0.721155,0.468415
ALL,3,diag_raw,leopard,210,0.794047,0.685103,0.502895
ALL,3,diag_raw,lion,210,0.955374,0.324816,0.823218
ALL,3,diag_raw,ocelot,210,0.809314,0.830426,0.476127
ALL,3,diag_raw,puma,210,0.918857,0.56877,0.759577
ALL,3,diag_raw,serval,210,0.923336,0.503628,0.650268
ALL,3,diag_raw,tiger,210,0.975053,0.070197,0.923376
ALL,4,diag_raw,cheetah,210,0.919762,0.653029,0.569182
ALL,4,diag_raw,jaguar,210,0.748764,0.792915,0.34368
ALL,4,diag_raw,leopard,210,0.744926,0.763499,0.373501
ALL,4,diag_raw,lion,210,0.951024,0.34248,0.762173
ALL,4,diag_raw,ocelot,210,0.780758,0.900245,0.357412
ALL,4,diag_raw,puma,210,0.910446,0.631637,0.68169
ALL,4,diag_raw,serval,210,0.911879,0.572063,0.546449
ALL,4,diag_raw,tiger,210,0.97335,0.064267,0.897178
ALL,5,diag_raw,cheetah,126,0.915074,0.697175,0.492957
ALL,5,diag_raw,jaguar,126,0.710433,0.852122,0.251231
ALL,5,diag_raw,leopard,126,0.697842,0.834023,0.271415
ALL,5,diag_raw,lion,126,0.947267,0.354175,0.704127
